0,00-00-2000 00:00,No Fault,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,ALL OFF
1,04-12-2025 10:33,No Fault,0.0,0.0,105,105,0.0,0,0.0,0,0.0,0.0,ALL OFF
3,04-12-2025 10:33,OverVoltage,47.12,0.25,105,105,4.023,12,2.042,15,27.2,24.96,DSG ON
5,04-12-2025 10:33,OverVoltage,47.11,0.33,105,105,4.032,12,2.043,15,27.11,25.01,DSG ON
7,04-12-2025 10:34,OverVoltage,47.17,0.25,105,105,4.019,12,2.063,15,27.09,24.98,DSG ON
9,04-12-2025 10:34,OverVoltage,47.17,0.33,105,105,4.006,12,2.065,15,27.07,24.85,DSG ON
11,04-12-2025 10:34,OverVoltage,47.16,0.25,105,105,4.013,12,2.057,15,27.04,24.98,DSG ON
13,04-12-2025 10:34,OverVoltage,47.15,0.25,105,105,4.011,12,2.068,15,26.98,24.85,DSG ON
15,04-12-2025 10:34,OverVoltage,47.15,0.25,105,105,4.03,12,2.07,15,26.78,24.96,DSG ON
17,04-12-2025 10:34,OverVoltage,47.11,0.33,105,105,4.025,12,2.063,15,26.78,25.01,DSG ON
19,04-12-2025 10:34,OverVoltage,47.05,0.33,105,105,4.031,12,2.06,15,26.78,25.01,DSG ON
21,04-12-2025 10:34,OverVoltage,47.19,0.25,105,105,4.02,12,2.058,15,26.78,25.05,DSG ON
23,04-12-2025 10:34,OverVoltage,47.18,0.25,105,105,4.0,12,2.062,15,26.78,24.98,DSG ON
25,04-12-2025 10:34,OverVoltage,47.13,0.42,105,105,4.03,12,2.06,15,26.78,24.96,DSG ON
27,04-12-2025 10:34,OverVoltage,47.1,0.33,105,105,4.005,12,2.031,15,26.78,24.98,DSG ON
29,04-12-2025 10:34,OverVoltage,47.05,0.33,105,105,4.0,12,2.06,15,26.78,25.05,DSG ON
31,04-12-2025 10:34,OverVoltage,47.14,0.33,105,105,4.005,12,2.037,15,26.78,24.96,DSG ON
33,04-12-2025 10:34,OverVoltage,47.12,0.25,105,105,4.016,12,2.072,15,26.78,25.12,DSG ON
35,04-12-2025 10:35,OverVoltage,47.1,0.25,105,105,4.016,12,2.034,15,26.78,25.03,DSG ON
37,04-12-2025 10:35,OverVoltage,47.09,0.25,105,105,4.027,12,2.026,15,26.78,25.01,DSG ON
39,04-12-2025 10:35,OverVoltage,47.12,0.42,105,105,4.035,12,2.058,15,26.75,24.92,DSG ON
41,04-12-2025 10:35,OverVoltage,47.14,0.33,105,105,4.006,12,2.05,15,26.75,25.05,DSG ON
43,04-12-2025 10:35,OverVoltage,47.11,0.33,105,105,4.031,12,2.062,15,26.73,24.98,DSG ON
45,04-12-2025 10:35,OverVoltage,47.12,0.25,105,105,4.033,12,2.069,15,26.71,24.98,DSG ON
47,04-12-2025 10:35,OverVoltage,47.16,0.25,105,105,4.025,12,2.067,15,26.69,25.03,DSG ON
49,04-12-2025 10:35,OverVoltage,47.04,0.42,105,105,4.018,12,2.028,15,26.66,24.98,DSG ON
51,04-12-2025 10:35,OverVoltage,47.14,0.25,105,105,4.01,12,2.062,15,26.66,25.05,DSG ON
53,04-12-2025 10:35,OverVoltage,47.16,0.25,105,105,3.999,12,2.03,15,26.66,25.05,DSG ON
0,00-00-2000 00:00,No Fault,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,ALL OFF
0,00-00-2000 00:00,No Fault,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,ALL OFF
0,00-00-2000 00:00,No Fault,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,ALL OFF
0,00-00-2000 00:00,No Fault,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,ALL OFF
0,00-00-2000 00:00,No Fault,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,ALL OFF
0,00-00-2000 00:00,No Fault,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,ALL OFF
0,00-00-2000 00:00,No Fault,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,ALL OFF
0,04-12-2025 12:16,OverVoltage,47.08,0.25,105,105,4.014,12,2.047,15,26.33,24.41,DSG ON
2,04-12-2025 12:18,OverVoltage,47.09,0.5,105,105,4.025,12,2.04,15,26.53,24.92,DSG ON
4,04-12-2025 12:21,OverVoltage,47.09,0.25,105,105,4.013,12,2.06,15,26.49,25.05,DSG ON
6,04-12-2025 12:24,OverVoltage,47.08,0.16,105,105,4.011,12,2.03,15,26.6,24.76,DSG ON
8,04-12-2025 12:27,OverVoltage,47.17,0.25,105,105,4.001,12,2.085,15,26.78,25.18,DSG ON
10,04-12-2025 12:30,OverVoltage,47.14,0.25,105,105,4.018,12,2.063,15,26.78,24.63,DSG ON
12,04-12-2025 12:32,OverVoltage,47.17,0.25,105,105,4.015,12,2.073,15,26.75,24.5,DSG ON
14,04-12-2025 12:35,OverVoltage,47.13,0.25,105,105,4.013,12,2.038,15,26.75,24.5,DSG ON
16,04-12-2025 12:38,OverVoltage,47.08,0.33,105,105,4.007,12,2.056,15,26.78,24.52,DSG ON
18,04-12-2025 12:41,OverVoltage,47.09,0.33,105,105,4.021,12,2.004,15,26.78,24.63,DSG ON
20,04-12-2025 12:44,OverVoltage,47.16,0.33,105,105,4.015,12,2.053,15,28.03,24.76,DSG ON
22,04-12-2025 12:46,OverVoltage,47.12,0.16,105,105,4.02,12,2.051,15,30.91,24.52,DSG ON
24,04-12-2025 12:49,OverVoltage,47.11,0.25,105,105,4.015,12,2.012,15,29.37,24.63,DSG ON
26,04-12-2025 12:52,OverVoltage,47.13,0.25,105,105,4.015,12,2.065,15,29.48,24.81,DSG ON
28,04-12-2025 12:55,OverVoltage,47.1,0.25,105,105,4.013,12,2.046,15,27.0,24.63,DSG ON
30,04-12-2025 12:58,OverVoltage,47.14,0.25,105,105,4.029,12,2.087,15,26.78,24.63,DSG ON
32,04-12-2025 01:01,OverVoltage,47.09,0.33,105,105,3.997,12,2.035,15,27.0,24.63,DSG ON
34,04-12-2025 01:03,OverVoltage,47.03,0.33,105,105,4.022,12,2.008,15,27.09,24.72,DSG ON
36,04-12-2025 01:06,OverVoltage,47.09,0.33,105,105,4.018,12,2.035,15,26.98,24.74,DSG ON
38,04-12-2025 01:09,OverVoltage,47.16,0.33,105,105,4.015,12,2.048,15,27.22,24.85,DSG ON
40,04-12-2025 01:12,OverVoltage,47.12,0.25,105,105,4.023,12,2.077,15,27.11,24.76,DSG ON
42,04-12-2025 01:15,OverVoltage,47.17,0.33,105,105,4.018,12,2.086,15,27.09,24.83,DSG ON
44,04-12-2025 01:17,OverVoltage,47.15,0.25,105,105,4.008,12,2.065,15,27.02,24.85,DSG ON
46,04-12-2025 01:20,OverVoltage,47.11,0.25,105,105,4.005,12,2.01,15,27.02,24.68,DSG ON
48,04-12-2025 01:23,OverVoltage,47.17,0.25,105,105,4.01,12,2.088,15,27.22,24.68,DSG ON
50,04-12-2025 01:26,OverVoltage,47.11,0.33,105,105,3.996,12,2.051,15,27.02,24.76,DSG ON
52,04-12-2025 01:29,OverVoltage,47.1,0.25,105,105,4.023,12,2.005,15,26.98,24.74,DSG ON
54,04-12-2025 01:31,OverVoltage,47.11,0.42,105,105,4.015,12,2.078,15,27.22,24.46,DSG ON
56,04-12-2025 01:34,OverVoltage,47.12,0.25,105,105,4.017,12,2.037,15,26.78,24.5,DSG ON
58,04-12-2025 01:37,OverVoltage,47.12,0.25,105,105,4.025,12,2.025,15,26.78,24.46,DSG ON
60,04-12-2025 01:40,OverVoltage,47.06,0.25,105,105,4.016,12,2.062,15,26.69,24.28,DSG ON
62,04-12-2025 01:43,OverVoltage,47.1,0.25,105,105,4.015,12,2.005,15,26.64,24.19,DSG ON
64,04-12-2025 01:46,OverVoltage,47.19,0.25,105,105,4.017,12,2.076,15,26.55,24.26,DSG ON
66,04-12-2025 01:48,OverVoltage,47.15,0.33,105,105,4.016,12,2.067,15,26.55,24.52,DSG ON
68,04-12-2025 01:51,OverVoltage,47.13,0.25,105,105,4.014,12,2.056,15,26.62,25.6,DSG ON
70,04-12-2025 01:54,OverVoltage,47.14,0.25,105,105,4.016,12,2.085,15,26.53,24.87,DSG ON
72,04-12-2025 01:57,OverVoltage,47.19,0.25,105,105,4.008,12,2.09,15,26.22,24.39,DSG ON
74,04-12-2025 02:00,OverVoltage,47.1,0.25,105,105,4.016,12,2.02,15,26.31,24.19,DSG ON
76,04-12-2025 02:02,OverVoltage,47.1,0.25,105,105,4.013,12,2.016,15,26.22,24.19,DSG ON
78,04-12-2025 02:05,OverVoltage,47.14,0.25,105,105,4.014,12,2.084,15,26.44,24.19,DSG ON
80,04-12-2025 02:08,OverVoltage,47.16,0.25,105,105,4.009,12,2.06,15,26.22,24.24,DSG ON
82,04-12-2025 02:11,OverVoltage,47.11,0.16,105,105,4.005,12,2.016,15,26.26,24.19,DSG ON
84,04-12-2025 02:14,OverVoltage,47.16,0.42,105,105,4.015,12,2.09,15,26.29,24.19,DSG ON
86,04-12-2025 02:16,OverVoltage,47.19,0.25,105,105,4.01,12,2.075,15,26.22,24.19,DSG ON
88,04-12-2025 02:19,OverVoltage,47.11,0.25,105,105,4.013,12,2.015,15,26.22,24.19,DSG ON
90,04-12-2025 02:22,OverVoltage,47.14,0.33,105,105,4.018,12,2.016,15,26.24,24.3,DSG ON
92,04-12-2025 02:25,OverVoltage,47.17,0.25,105,105,4.011,12,2.047,15,26.46,24.35,DSG ON
94,04-12-2025 02:28,OverVoltage,47.16,0.25,105,105,4.017,12,2.092,15,26.33,24.41,DSG ON
96,04-12-2025 02:30,OverVoltage,47.08,0.33,105,105,4.018,12,2.008,15,26.33,24.74,DSG ON
98,04-12-2025 02:33,OverVoltage,47.11,0.25,105,105,4.02,12,2.03,15,26.55,24.96,DSG ON
100,04-12-2025 02:36,OverVoltage,47.09,0.25,105,105,4.023,12,2.032,15,26.64,24.98,DSG ON
